Group,Designator,Component,Number, Cost per unit [\$] ,Total Cost [\$],Source
Electronics,USB isolator,ADUM4160 100MA USB ISOLATOR BRD,1,34.95,34.95,Digikey
Electronics,Arduino Due,Arduino Due,2,37.4,74.8,Digikey
Electronics,Level Shifter,BSS138,3,3.49,10.47,Adafruit
Electronics,Encoder Buffer,Single LS7366R Quadrature Encoder Buffer,2,28.65,57.3,SuperDroid Robots
Electronics,Encoder,AMT102-V,2,23.86,47.72,Digikey
Electronics,WEC Motor Controller,"ESCON Module 24/2, 4-Q servo controller for DC/EC motors, 2/6 A, 10-24 VDC",1,89.39,89.39,Maxon
Electronics,WEC Motor Controller MotherBoard,ESCON Module 24/2 Motherboard,1,87,87,Maxon
Electronics,WEC Motor,"Maxon EC-max 16, 283828",1,190.45,190.45,Maxon
Electronics,Wavemaker Motor Controller,StepperOnline DM542T,1,19.9,19.9,StepperOnline
Electronics,Wavemaker Motor,StepperOnline 23HS45-4204S,1,33.92,33.92,StepperOnline
Electronics,Power Supply,MDS-400ADB24AA,1,164.19,164.19,Digikey
Electronics,E-stop,EAO 84-5040.0040,1,53.95,53.95,Digikey
Electronics,Inferred Limit,485-2168,1,5.95,5.95,Digikey
Electronics,Wave Probe,OSSI-010-002E Wave Staff,2,1075,2150,OSSI
Electronics,Project Enclosure,"BOX ABS/PC GRY 19.68""L X 15.74""W",1,122.65,122.65,Digikey
Electronics,Signal Generator,AD9833 Function Generator ,1,8.95,8.95,ProtoSupplies
Electronics,Transistor,MOSFET N-CH 30V 120A TO220,5,1.12,5.6,Digikey
Electronics,Town transistor,STMicroelectronics STP160N3LL,1,1.85,1.85,Digikey
Electronics,Town LED Expansion Hub,Just-Plug JP5702,1,16.99,16.99,Amazon
Electronics,Town LED Lights and Hub Kit,Just-Plug JP5700,1,20.99,20.99,Amazon
Other,Touchscreen laptop,Dell 120-ARYY,1,2200,2200,Dell
Other,3/4 inch acrylic tank (1.5m x 0.3m x 0.5m),,1,1460,1460,Custom